Address of main() function: 00E312F8
Address of global var: 00E3B140
Address of local var in main(): 0038F6B8
Address of static local variable: 00E3B150
Addr of local variables (in recursive level 1170): auto_y: 002D2D6C,  static_y: 00E3B154, dynamicArray: 007E60F0, memory usage (2015232), memory increment (   8192)
Addr of local variables (in recursive level 1180): auto_y: 002D13A4,  static_y: 00E3B154, dynamicArray: 007E72C0, memory usage (2023424), memory increment (   8192)
Addr of local variables (in recursive level 1190): auto_y: 002CF9DC,  static_y: 00E3B154, dynamicArray: 007E8618, memory usage (2093056), memory increment (  69632)
Addr of local variables (in recursive level 1200): auto_y: 002CE014,  static_y: 00E3B154, dynamicArray: 007E97E8, memory usage (2101248), memory increment (   8192)
Addr of local variables (in recursive level 1210): auto_y: 002CC64C,  static_y: 00E3B154, dynamicArray: 007EA9B8, memory usage (2105344), memory increment (   4096)
Addr of local variables (in recursive level 1220): auto_y: 002CAC84,  static_y: 00E3B154, dynamicArray: 007EBB88, memory usage (2113536), memory increment (   8192)
Addr of local variables (in recursive level 1230): auto_y: 002C92BC,  static_y: 00E3B154, dynamicArray: 007ECD58, memory usage (2121728), memory increment (   8192)
Addr of local variables (in recursive level 1240): auto_y: 002C78F4,  static_y: 00E3B154, dynamicArray: 007EDF28, memory usage (2125824), memory increment (   4096)
Addr of local variables (in recursive level 1250): auto_y: 002C5F2C,  static_y: 00E3B154, dynamicArray: 007EF0F8, memory usage (2134016), memory increment (   8192)
Addr of local variables (in recursive level 1260): auto_y: 002C4564,  static_y: 00E3B154, dynamicArray: 007F02C8, memory usage (2142208), memory increment (   8192)
Addr of local variables (in recursive level 1270): auto_y: 002C2B9C,  static_y: 00E3B154, dynamicArray: 007F1498, memory usage (2146304), memory increment (   4096)
Addr of local variables (in recursive level 1280): auto_y: 002C11D4,  static_y: 00E3B154, dynamicArray: 007F2668, memory usage (2154496), memory increment (   8192)
Addr of local variables (in recursive level 1290): auto_y: 002BF80C,  static_y: 00E3B154, dynamicArray: 007F3838, memory usage (2158592), memory increment (   4096)
Addr of local variables (in recursive level 1300): auto_y: 002BDE44,  static_y: 00E3B154, dynamicArray: 007F4A08, memory usage (2166784), memory increment (   8192)
Addr of local variables (in recursive level 1310): auto_y: 002BC47C,  static_y: 00E3B154, dynamicArray: 007F5BD8, memory usage (2174976), memory increment (   8192)
Addr of local variables (in recursive level 1320): auto_y: 002BAAB4,  static_y: 00E3B154, dynamicArray: 007F6DA8, memory usage (2179072), memory increment (   4096)
Addr of local variables (in recursive level 1330): auto_y: 002B90EC,  static_y: 00E3B154, dynamicArray: 007F7F78, memory usage (2187264), memory increment (   8192)
Addr of local variables (in recursive level 1340): auto_y: 002B7724,  static_y: 00E3B154, dynamicArray: 007F9290, memory usage (2256896), memory increment (  69632)
Addr of local variables (in recursive level 1350): auto_y: 002B5D5C,  static_y: 00E3B154, dynamicArray: 007FA460, memory usage (2265088), memory increment (   8192)
Addr of local variables (in recursive level 1360): auto_y: 002B4394,  static_y: 00E3B154, dynamicArray: 007FB630, memory usage (2273280), memory increment (   8192)
